ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
1,micologia,Fisiologia de Crescimento,Conceito,Fungos sao procariontes ou eucariontes?,Eucariontes.,biologia-fundamental-fungos.md
2,micologia,Fisiologia de Crescimento,Conceito,Fungos fazem fotossintese?,Nao - nao sao fotossintetizantes.,biologia-fundamental-fungos.md
3,micologia,Fisiologia de Crescimento,Conceito,Como o fungo obtem alimento (tipo de nutricao)?,Por absorcao: libera enzimas que digerem o alimento fora do corpo (digestao extracelular) e depois absorve os nutrientes ja digeridos.,biologia-fundamental-fungos.md
4,micologia,Fisiologia de Crescimento,Conceito,Fungos filamentosos e leveduras tem a mesma exigencia de oxigenio?,Nao: os filamentosos sao quase todos aerobios estritos; as leveduras costumam ser anaerobias facultativas.,biologia-fundamental-fungos.md
5,micologia,Fisiologia de Crescimento,Conceito,Como os fungos sao classificados quanto a temperatura ideal de crescimento?,"Psicrofilos (temperaturas baixas), mesofilos (temperaturas moderadas) e termofilos (temperaturas altas).",biologia-fundamental-fungos.md
6,micologia,Fisiologia de Crescimento,Conceito,A maioria dos fungos de importancia medica se enquadra em qual categoria de temperatura?,"Mesofilos (temperatura moderada, proxima da ambiente).",biologia-fundamental-fungos.md
7,micologia,Fisiologia de Crescimento,Conceito,"Fungos, de forma geral, preferem ambiente acido ou alcalino?",Levemente acido.,biologia-fundamental-fungos.md
8,micologia,Fisiologia de Crescimento,Conceito,Fungos filamentosos e leveduras toleram igualmente bem um ambiente alcalino?,"Nao - os filamentosos toleram uma faixa de pH muito ampla, mas as leveduras nao toleram bem meio alcalino.",biologia-fundamental-fungos.md
9,micologia,Fisiologia de Crescimento,Conceito,Fungos precisam de mais ou menos umidade que as bacterias para crescer?,Menos - sao mais resistentes a seca que as bacterias.,biologia-fundamental-fungos.md
10,micologia,Fisiologia de Crescimento,Conceito,O que e atividade de agua (aw)?,"Medida de quanta agua disponivel existe num ambiente ou alimento, numa escala de 0 a 1.",biologia-fundamental-fungos.md
11,micologia,Fisiologia de Crescimento,Conceito,"O que ocorre com o crescimento fungico abaixo de aw 0,60?","Nenhum fungo consegue crescer - por isso alimentos bem secos, como arroz, feijao e macarrao, nao estragam por fungo.",biologia-fundamental-fungos.md
