ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
1,virologia,Caracteristicas Gerais,Conceito,"O que sao virus, em termos gerais?","Entidades acelulares, parasitas intracelulares obrigatorios; nao tem metabolismo proprio nem fabricam suas proprias proteinas.",biologia-fundamental-virus.md
2,virologia,Caracteristicas Gerais,Conceito,Virus produzem sua propria energia (ATP)?,Nao; dependem totalmente da celula hospedeira.,biologia-fundamental-virus.md
3,virologia,Caracteristicas Gerais,Conceito,Virus tem ribossomos proprios?,Nao.,biologia-fundamental-virus.md
4,virologia,Caracteristicas Gerais,Conceito,Virus tem membrana plasmatica propria?,"Nao (diferente de bacterias, riquetsias e clamidias, que tem).",biologia-fundamental-virus.md
5,virologia,Caracteristicas Gerais,Conceito,"Virus se multiplicam por fissao binaria, como bacterias?",Nao.,biologia-fundamental-virus.md
6,virologia,Caracteristicas Gerais,Conceito,Virus contem os dois tipos de acido nucleico (DNA e RNA) na mesma particula?,Nao; cada virus tem so um dos dois tipos.,biologia-fundamental-virus.md
7,virologia,Caracteristicas Gerais,Conceito,Virus conseguem passar por filtros que retem bacterias?,Sim (por isso sao chamados de agentes filtraveis).,biologia-fundamental-virus.md
8,virologia,Caracteristicas Gerais,Conceito,Virus sao sensiveis a antibioticos?,Nao.,biologia-fundamental-virus.md
9,virologia,Caracteristicas Gerais,Conceito,Virus sao sensiveis a acao do interferon?,"Sim (diferente de bacterias, que nao sao).",biologia-fundamental-virus.md
10,virologia,Caracteristicas Gerais,Conceito,Virus podem infectar quais tipos de seres vivos?,"Todos os reinos conhecidos (humanos, animais, plantas, bacterias, fungos e protozoarios).",biologia-fundamental-virus.md
11,virologia,Caracteristicas Gerais,Conceito,Por que a maioria dos virus nao pode ser vista ao microscopio optico comum?,"Porque sao muito menores que uma celula bacteriana, exigindo microscopia eletronica.",biologia-fundamental-virus.md
12,virologia,Estrutura do Virion,Conceito,O que e o virion?,"A particula viral completa, madura e infecciosa, fora da celula.",biologia-fundamental-virus.md
13,virologia,Estrutura do Virion,Conceito,Qual a funcao principal do virion?,Proteger o acido nucleico viral e permitir a ligacao a celula hospedeira.,biologia-fundamental-virus.md
14,virologia,Estrutura do Virion,Conceito,O que e o capsideo?,Capa de proteina que envolve e protege o genoma viral.,biologia-fundamental-virus.md
15,virologia,Estrutura do Virion,Conceito,Como se chamam as subunidades proteicas que formam o capsideo?,Capsomeros.,biologia-fundamental-virus.md
16,virologia,Estrutura do Virion,Conceito,O que e o nucleocapsideo?,O conjunto formado pelo genoma viral junto com o capsideo.,biologia-fundamental-virus.md
17,virologia,Estrutura do Virion,Conceito,"O que e o envelope viral, e de onde ele vem?","Cobertura lipoproteica externa que envolve o nucleocapsideo em alguns virus; vem de uma membrana da propria celula hospedeira.",biologia-fundamental-virus.md
18,virologia,Estrutura do Virion,Conceito,"O que sao as espiculas (glicoproteinas) do envelope?",Estruturas que se projetam para fora do virus e permitem sua ligacao a celula hospedeira.,biologia-fundamental-virus.md
19,virologia,Estrutura do Virion,Conceito,"Como um virus sem envelope (virus nu) se liga a celula, ja que nao tem espiculas?",Por proteinas do proprio capsideo.,biologia-fundamental-virus.md
20,virologia,Estrutura do Virion,Conceito,Quais os tres grupos de simetria do capsideo viral?,"Helicoidal, poliedrico (icosaedrico) e complexo.",biologia-fundamental-virus.md
21,virologia,Estrutura do Virion,Conceito,"O que caracteriza um virus helicoidal, e um exemplo?","Capsomeros organizados em helice ao redor do genoma, formato de bastonete (ex.: virus da Raiva, Influenza).",biologia-fundamental-virus.md
