ordem,disciplina,agente,tipo_pergunta,pergunta,resposta,fonte
1,virologia,HSV-1 (Herpes Labial),Categoria,O Herpes Labial (HSV-1) e causado por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Herpesviridae)",dicionario-gatilhos-virologia.md
2,virologia,HSV-1 (Herpes Labial),Transmissao,Como se transmite o HSV-1?,"Contato com saliva (beijo, objetos compartilhados)",dicionario-gatilhos-virologia.md
3,virologia,HSV-1 (Herpes Labial),Achado,Qual o achado clinico mais caracteristico do HSV-1?,"Vesiculas agrupadas dolorosas na regiao perioral, reativadas por estresse, febre ou sol",dicionario-gatilhos-virologia.md
4,virologia,HSV-1 (Herpes Labial),Vinheta (agente),Paciente com historico de contato intimo (beijo) desenvolve vesiculas agrupadas e dolorosas ao redor da boca apos um episodio de estresse. Qual o agente causador?,HSV-1 (Herpes Simplex tipo 1),dicionario-gatilhos-virologia.md
5,virologia,HSV-1 (Herpes Labial),Aplicado (tratamento),"Diante de vesiculas agrupadas dolorosas na regiao perioral, causadas pelo HSV-1, qual o tratamento indicado?",Aciclovir,dicionario-gatilhos-virologia.md
6,virologia,HSV-2 (Herpes Genital),Categoria,O Herpes Genital (HSV-2) e causado por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Herpesviridae)",dicionario-gatilhos-virologia.md
7,virologia,HSV-2 (Herpes Genital),Transmissao,Como se transmite o HSV-2?,Contato sexual desprotegido,dicionario-gatilhos-virologia.md
8,virologia,HSV-2 (Herpes Genital),Achado,Qual o achado clinico mais caracteristico do HSV-2?,"Vesiculas/ulceras dolorosas na regiao genital, recorrentes",dicionario-gatilhos-virologia.md
9,virologia,HSV-2 (Herpes Genital),Vinheta (agente),Paciente sexualmente ativo apresenta vesiculas dolorosas recorrentes na regiao genital que evoluem para ulceras. Qual o agente causador?,HSV-2 (Herpes Simplex tipo 2),dicionario-gatilhos-virologia.md
10,virologia,HSV-2 (Herpes Genital),Aplicado (tratamento),"Diante de ulceras genitais dolorosas recorrentes, causadas pelo HSV-2, qual o tratamento indicado?",Aciclovir ou Valaciclovir,dicionario-gatilhos-virologia.md
11,virologia,VZV (Varicela-Zoster),Categoria,A Varicela e o Herpes-Zoster sao causados por que tipo de agente?,"Virus de DNA, dupla-fita, envelopado (familia Herpesviridae)",dicionario-gatilhos-virologia.md
